order_id,order_date,order_time,store_id,city,customer_id,pizza_name,category,size,quantity,unit_price,discount,gst,total_amount,order_type,payment_method,month,day_of_week,hour,discount_category,weekend_flag,peak_hour,order_value,year,month_name,day_name,day_number,hour_bucket
100001,2025-05-06,13:32:00,,Gurugram,,Farmhouse,Veg,Regular,3,299.0,89.7,40.37,847.67,Takeaway,Wallet,5,Thursday,13,Medium Discount,Weekday,Non-Peak,Mid-Value,2025,May,Tuesday,2,Afternoon
100003,2025-01-11,21:39:00,,Ghaziabad,,Pepper Barbecue Chicken,Chicken,Medium,2,583.7,0.0,58.37,1225.77,Delivery,Wallet,1,Saturday,21,No Discount,Weekend,Peak,High-Value,2025,January,Saturday,6,Peak Evening
100005,2025-06-10,15:02:00,,Jaipur,,Cheese n Corn,Veg,Large,1,398.4,0.0,19.92,418.32,Delivery,Cash,6,Monday,15,No Discount,Weekday,Non-Peak,Low-Value,2025,June,Tuesday,2,Afternoon
100008,2025-10-03,15:10:00,,Jaipur,,Indi Tandoori Paneer,Veg,Regular,1,429.0,0.0,21.45,450.45,Dine-in,Wallet,10,Monday,15,No Discount,Weekday,Non-Peak,Low-Value,2025,October,Friday,5,Afternoon
100010,2025-06-11,13:56:00,,Hyderabad,,Margherita,Veg,Large,1,238.4,0.0,11.92,250.32,Dine-in,UPI,6,Thursday,13,No Discount,Weekday,Non-Peak,Low-Value,2025,June,Wednesday,3,Afternoon
100013,2025-04-06,22:23:00,,Mumbai,,Farmhouse,Veg,Regular,3,299.0,134.55,38.12,800.57,Delivery,Wallet,4,Wednesday,22,High Discount,Weekend,Non-Peak,Mid-Value,2025,April,Sunday,7,Late Night
100016,2025-02-08,15:39:00,,Delhi,,Veg Extravaganza,Veg,Regular,3,399.0,0.0,59.85,1256.85,Takeaway,Cash,2,Saturday,15,No Discount,Weekend,Non-Peak,High-Value,2025,February,Saturday,6,Afternoon
100018,2025-03-05,16:10:00,,Gurugram,,Chicken Dominator,Chicken,Regular,2,599.0,59.9,56.91,1195.01,Takeaway,Credit Card,3,Saturday,16,Medium Discount,Weekday,Non-Peak,High-Value,2025,March,Wednesday,3,Afternoon
100020,2025-05-01,15:56:00,,Ghaziabad,,Chicken Dominator,Chicken,Personal,4,479.2,0.0,95.84,2012.64,Takeaway,Wallet,5,Sunday,15,No Discount,Weekday,Non-Peak,High-Value,2025,May,Thursday,4,Afternoon
100022,2025-09-04,15:51:00,,Chennai,,Indi Chicken Tikka,Chicken,Large,4,798.4,319.36,143.71,3017.95,Takeaway,Wallet,9,Wednesday,15,High Discount,Weekday,Non-Peak,High-Value,2025,September,Thursday,4,Afternoon
100027,2025-11-09,14:57:00,,Delhi,,Paneer Makhani,Veg,Medium,3,453.7,0.0,68.05,1429.15,Dine-in,Debit Card,11,Thursday,14,No Discount,Weekend,Non-Peak,High-Value,2025,November,Sunday,7,Afternoon
100028,2025-05-01,22:57:00,,Delhi,,Chicken Sausage,Chicken,Regular,1,379.0,0.0,18.95,397.95,Takeaway,Debit Card,5,Sunday,22,No Discount,Weekday,Non-Peak,Low-Value,2025,May,Thursday,4,Late Night
100033,2025-12-04,13:30:00,,Pune,,Chicken Sausage,Chicken,Large,4,606.4,0.0,121.28,2546.88,Takeaway,Debit Card,12,Saturday,13,No Discount,Weekday,Non-Peak,High-Value,2025,December,Thursday,4,Afternoon
100036,2025-08-05,16:08:00,,Hyderabad,,Pepper Barbecue Chicken,Chicken,Large,2,718.4,0.0,71.84,1508.64,Delivery,Cash,8,Thursday,16,No Discount,Weekday,Non-Peak,High-Value,2025,August,Tuesday,2,Afternoon
100037,2025-07-11,21:44:00,,Hyderabad,,Farmhouse,Veg,Large,2,478.4,0.0,47.84,1004.64,Dine-in,Credit Card,7,Friday,21,No Discount,Weekday,Peak,High-Value,2025,July,Friday,5,Peak Evening
100041,2025-12-11,17:30:00,,Bengaluru,,Indi Tandoori Paneer,Veg,Medium,4,557.7,334.62,94.81,1990.99,Delivery,Credit Card,12,Wednesday,17,High Discount,Weekday,Non-Peak,High-Value,2025,December,Thursday,4,Peak Evening
100045,2025-03-06,13:04:00,,Mumbai,,Veg Extravaganza,Veg,Personal,4,319.2,127.68,57.46,1206.58,Delivery,Credit Card,3,Tuesday,13,High Discount,Weekday,Non-Peak,High-Value,2025,March,Thursday,4,Afternoon
